station_id,station_name,lat,long
4488.09,Boerum Pl\t& Pacific St,40.68848905639242,-73.99116039276123
5616.08,E 12 St & Ave C,40.727243,-73.976831
6140.05,W 21 St & 6 Ave,40.74173969,-73.99415556
6850.01,38 St & 30 Ave,40.764174520197685,-73.91583994030952
4362.04,Pacific St & Nevins St,40.6853761,-73.98302136
6726.01,11 Ave & W 41 St,40.76030096,-73.99884222
4519.04,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465
5763.03,Carmine St & 6 Ave,40.73038599,-74.00214988
3739.06,4 Ave & 17 St,40.665507,-73.993037
7235.13,E 88 St & 1 Ave,40.778301,-73.9488134
7937.15,St. Nicholas Terrace & Convent Ave,40.821294,-73.947868
5270.08,Division St & Bowery,40.714193,-73.996732
6969.08,E 66 St & Madison Ave,40.76800889305947,-73.96845281124115
5473.03,Engert Ave & McGuinness Blvd,40.72158,-73.94546
7713.01,W 113 St & Broadway,40.805973,-73.964928
6747.06,W 49 St & 8 Ave,40.76227205,-73.98788205
4169.04,Pioneer St & Van Brunt St,40.679043,-74.011169
4237.02,Albany Ave & Fulton St,40.6800105,-73.938475
5489.03,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938
7942.21,Riverside Dr & W 138 St,40.823168,-73.955857
5164.04,Broadway & Berry St,40.71044554,-73.96525063
5944.01,Franklin St & Dupont St,40.73564,-73.95866
5550.05,Bedford Ave & Nassau Ave,40.72311651,-73.95212324
8356.02,E Tremont Ave & E 176 St,40.847798,-73.901883
4452.01,Lafayette Ave & Classon Ave,40.68900443,-73.96023854
6115.06,Hudson St & W 13 St,40.74005708567285,-74.0052741765976
5436.09,Avenue D & E 3 St,40.72082834,-73.97793172
6197.02,2 Ave & E 31 St,40.74290902,-73.97706058
4199.12,Carlton Ave & Dean St,40.6809741,-73.9710097
5550.09,Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583
7599.02,E 115 St & Madison Ave,40.7989445,-73.944846
5542.04,Driggs Ave & N Henry St,40.72325,-73.94308
4266.03,Clinton St & Union St,40.6831164,-73.99785267
4461.01,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902
5414.07,Delancey St & Eldridge St,40.719383,-73.991479
4488.08,Court St & State St,40.6902375,-73.99203074
7453.01,Central Park W & W 91 St,40.78866499127884,-73.96680057048798
7920.05,Amsterdam Ave & W 136 St,40.819746,-73.951819
4205.06,Kingston Ave & Herkimer St,40.67890679,-73.94142771
6782.01,31 Ave & Steinway St,40.7611488,-73.9170071
6584.12,E 47 St & Park Ave,40.75510267,-73.97498696
7098.05,27 Ave & 9 St,40.7739825,-73.9309134
5065.14,Cliff St & Fulton St,40.70838,-74.00495
8187.04,Edgecombe Ave & W 167 St,40.838191,-73.936085
3628.11,6 Ave & 21 St,40.66016,-73.990974
6708.04,Broadway\t& W 48 St,40.76017739537783,-73.98486793041229
7340.07,West End Ave & W 78 St,40.783786,-73.981687
6004.06,E 27 St & 1 Ave,40.739445,-73.976806
3874.01,5 St & 6 Ave,40.6704836,-73.98208968
4042.08,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457
3722.04,Prospect Park West & 8 St,40.66514681533792,-73.97637605667114
6536.02,62 St & Northern Blvd,40.754176,-73.900318
7146.04,E 85 St & York Ave,40.77536905,-73.94803392
7915.11,Edgecombe Ave & W 141 St,40.820681,-73.945144
6819.15,31 Ave & 34 St,40.763154,-73.920827
6459.07,W 30 St & 10 Ave,40.752694,-74.002353
6212.04,48 Ave & 5 St,40.74436328706688,-73.9558732509613
6743.06,Newton Rd & 44 St,40.7595701,-73.9142678
6682.03,E 58 St & 1 Ave (NE Corner),40.75892386377695,-73.96226227283478
4001.09,St Johns Pl & Washington Ave,40.6737236,-73.9631611
4077.04,Smith St & 9 St,40.6746957,-73.99785768
6239.08,E 31 St & 3 Ave,40.74394314,-73.97966069
6688.01,Crescent St & 35 Ave,40.7596276,-73.9321455
4645.04,Henry St & Remsen St,40.69400964865994,-73.99465128779411
7020.09,1 Ave & E 78 St,40.77140426,-73.9535166
6822.09,1 Ave & E 68 St,40.76500525,-73.95818491
7183.03,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659
4258.07,Degraw St & Hoyt St,40.68199044270703,-73.99079024791718
6254.06,Center Blvd & 48 Ave,40.745038,-73.957539
6237.01,47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297
7646.04,W 110 St & Amsterdam Ave,40.802692,-73.96295
6779.04,Broadway & W 51 St,40.76228826,-73.98336183
4596.09,Lawrence St & Willoughby St,40.69236178,-73.98631746
5247.1,Reade St & Broadway,40.71450451,-74.00562789
4531.05,Henry St & Atlantic Ave,40.69089272,-73.99612349
3856.03,Flatbush Ave & Eastern Pkwy,40.668757,-73.966438
7311.02,Amsterdam Ave & W 79 St,40.7829391,-73.9786517
6923.2,31 St & Newtown Ave,40.7675487799971,-73.9209334552288
6765.01,12 Ave & W 40 St,40.76087502,-74.00277668
5854.09,1 Ave & E 18 St,40.73381219196632,-73.98054420948029
6471.02,21 St & Queens Plaza North,40.75325964,-73.94335788
5779.09,E 13 St & Avenue A,40.72966729392978,-73.98067966103554
6824.07,W 47 St & 10 Ave,40.76269882,-73.99301222
8194.07,E 170 St & Sheridan Ave,40.838315,-73.912604
7520.07,Columbus Ave & W 95 St,40.7919557,-73.968087
7152.1,24 Ave & 26 St,40.774591,-73.918544
4028.03,3 St & 3 Ave,40.6750705,-73.98775226
7932.1,W 144 St & Adam Clayton Powell Blvd,40.820877,-73.939249
8397.02,E Burnside Ave & Ryer Ave,40.850535,-73.901318
8233.01,Inwood Ave & W 170 St,40.840536,-73.919228
8172.07,Amsterdam Ave & W 162 St,40.83618,-73.939789
6857.09,31 Ave & 30 St,40.7647,-73.9240312
5484.09,Allen St & Stanton St,40.722055,-73.989111
7502.01,W 92 St & Broadway,40.7921,-73.9739
4483.1,Broadway & Madison St,40.68822,-73.91966
8089.05,Broadway & W 153 St,40.831327,-73.946665
6306.06,W 22 St & 10 Ave,40.74691959,-74.00451887
6297.02,W 26 St & 8 Ave,40.74734825,-73.99723551
6605.08,34 St & 35 Ave,40.7569332,-73.9262231
6626.11,W 48 St &  Rockefeller Plaza,40.75776935448309,-73.97929430007935
4645.09,Hicks St & Montague St,40.69512845,-73.99595065
7284.01,21 Ave & Crescent St,40.780478,-73.912212
7354.01,Central Park West & W 85 St,40.78476,-73.969862
7701.21,5 Ave & W 126 St,40.80722,-73.9418
4455.11,Kane St & Clinton St,40.6861758,-73.99645295
5167.06,St James Pl & Pearl St,40.71117416,-74.00016545
4143.04,3 Ave & Carroll St,40.677027,-73.9865
7611.02,E 118 St & 3 Ave,40.799139,-73.9389152
8319.01,Anthony Ave & E 175 St,40.846465,-73.903869
8171.06,E 171 St & 3 Ave,40.837119,-73.902185
6505.09,24 St & 41 Ave,40.752474,-73.939991
6532.06,E 51 St & 1 Ave,40.75455731,-73.96592976
6644.07,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188
6937.07,Vernon Blvd & 10 St,40.7671863,-73.9373554
5329.06,Murray St & West St,40.7149787,-74.013012
6464.08,E 45 St & 3 Ave,40.75255434,-73.97282625
6830.02,E 63 St & 3 Ave,40.763954,-73.9646
6608.09,E 54 St & 1 Ave,40.756265,-73.964179
6438.04,11 St & 43 Ave,40.7519071,-73.9479119
6762.02,E 58 St & 3 Ave,40.76095756,-73.96724467
8299.03,Wadsworth Ave & W 175 St,40.846052,-73.937648
7023.04,W 59 St & 10 Ave,40.770513,-73.988038
5779.1,E 14 St & 1 Ave,40.73139303364151,-73.98286700248718
4193.14,1 Pl & Clinton St,40.6809591,-73.99905709
4322.06,Bergen St & 4 Ave,40.68256425759694,-73.9798977971077
5610.09,6 Ave & Broome St,40.72431,-74.00473
6670.03,43 St & Broadway,40.7577284,-73.9166368
7643.18,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423
3199.01,Caton Ave & E 7 St,40.647718,-73.973663
7587.14,E 110 St & Madison Ave,40.7961535,-73.94782145
7003.03,Vernon Blvd & 30 Rd,40.770845,-73.934171
4419.03,Washington Ave & Greene Ave,40.68650065,-73.96563307
3946.07,1 St & 6 Ave,40.672784,-73.979826
7696.07,E 128 St & 3 Ave,40.805631,-73.934077
